lat,lon,name,loc,image,is_selected
12.7409321,77.7088754,,,we.png,FALSE
12.977279,77.641986,,,we.png,FALSE
12.89791,77.659196,,,we.png,FALSE
12.7409321,77.7088754,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
13.0660542,77.6239339,,,we.png,FALSE
12.8297222,77.6418056,,,we.png,FALSE
12.9200612,77.6893547,,,we.png,FALSE
12.7869158,77.6251185,,,we.png,FALSE
12.860569,77.512536,,,we.png,FALSE
12.792175,77.641821,,,we.png,FALSE
12.9254003,77.6279524,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
13.065997,77.676366,,,we.png,FALSE
12.865546,77.597013,,,we.png,FALSE
12.8999811,77.6158909,,,we.png,FALSE
12.882287,77.7891951,,,we.png,FALSE
12.882235,77.7908347,,,we.png,FALSE
13.064018,77.753263,,,we.png,FALSE
12.8589307,77.7100412,,,we.png,FALSE
13.2043014,77.6458228,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.878965,77.623047,,,we.png,FALSE
12.9182985,77.5833132,,,we.png,FALSE
11.679255,78.115622,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.8605698,77.5099618,,,we.png,FALSE
12.8641836,77.5647041,,,we.png,FALSE
12.8641836,77.5647041,,,we.png,FALSE
12.8617808,77.7084792,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.8770759,77.7661395,,,we.png,FALSE
12.8641836,77.5647041,,,we.png,FALSE
13.1926197,77.627238,,,we.png,FALSE
13.0875198,77.6192001,,,we.png,FALSE
12.845012,77.7250843,,,we.png,FALSE
12.845012,77.7250843,,,we.png,FALSE
12.8533518,77.7339095,,,we.png,FALSE
12.907926,77.6311371,,,we.png,FALSE
13.2043014,77.6458228,,,we.png,FALSE
12.8770759,77.7661395,,,we.png,FALSE
12.9643146,77.4915223,,,we.png,FALSE
12.9643146,77.4915223,,,we.png,FALSE
12.901261,77.700797,,,we.png,FALSE
12.8742517,77.5496169,,,we.png,FALSE
13.2043014,77.6458228,,,we.png,FALSE
13.0712207,77.4560829,,,we.png,FALSE
